title,runtimeMinutes,genres,averageRating,numVotes,director,writer,releaseDate,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay
Margin Call,107,"Drama,Thriller",7.1,143220,J.C. Chandor,J.C. Chandor,"Oct 5, 2011",3400000,5353586,20433227,2011,10,5
J. Edgar,137,"Biography,Drama,Romance",6.5,133220,Clint Eastwood,Dustin Lance Black,"Nov 9, 2011",35000000,37306030,84606030,2011,11,9
I'm in Love with a Church Girl,118,"Crime,Drama,Romance",4.2,2007,Steve Race,Galley Molina,"Oct 18, 2013",3000000,2387730,2503392,2013,10,18
Jackie,100,"Biography,Drama",6.7,83180,Pablo Larraín,Noah Oppenheim,"Dec 2, 2016",9000000,13960394,36588512,2016,12,2
Young Adult,94,"Comedy,Drama",6.3,87450,Jason Reitman,Diablo Cody,"Dec 9, 2011",12000000,16311571,22750356,2011,12,9
Blackthorn,102,"Action,Adventure,Drama",6.5,10322,Mateo Gil,Miguel Barros,"Oct 7, 2011",4500000,200558,1217307,2011,10,7
In Time,109,"Action,Sci-Fi,Thriller",6.7,442857,Andrew Niccol,Andrew Niccol,"Oct 28, 2011",35000000,37553932,165103952,2011,10,28
Tallulah,111,"Comedy,Drama,Romance",6.7,21375,Sian Heder,Sian Heder,"Jul 29, 2016",6000000,0,0,2016,7,29
Hobo with a Shotgun,86,"Action,Comedy,Crime",6.1,48471,Jason Eisener,John Davies,"May 6, 2011",3000000,703372,834953,2011,5,6
The Art of Getting By,83,"Drama,Romance",6.5,60679,Gavin Wiesen,Gavin Wiesen,"Jun 17, 2011",4000000,1430241,1989035,2011,6,17
Million Dollar Arm,124,"Biography,Drama,Sport",7.0,47705,Craig Gillespie,Tom McCarthy,"May 16, 2014",25000000,36447959,39217912,2014,5,16
Super 8,112,"Action,Mystery,Sci-Fi",7.0,366398,J.J. Abrams,J.J. Abrams,"Jun 10, 2011",50000000,127004179,257972745,2011,6,10
Dysfunctional Friends,111,"Comedy,Drama",5.0,932,Corey Grant,Corey Grant,"Feb 3, 2012",1800000,0,0,2012,2,3
The Artist,100,"Comedy,Drama,Romance",7.9,247988,Michel Hazanavicius,Michel Hazanavicius,"Oct 12, 2011",16000000,44667095,128100584,2011,10,12
The Artist,100,Thriller,8.2,10,Sunil Prem Vyas,Sunil Prem Vyas,"Oct 12, 2011",16000000,44667095,128100584,2011,10,12
Stolen,96,"Action,Crime,Thriller",5.5,46323,Simon West,David Guggenheim,"Sep 14, 2012",35000000,289773,17967746,2012,9,14
Safe,94,"Action,Crime,Thriller",6.5,116938,Boaz Yakin,Boaz Yakin,"Apr 27, 2012",33000000,17142080,41495213,2012,4,27
Freeheld,103,"Biography,Drama,Romance",6.6,13186,Peter Sollett,Ron Nyswaner,"Oct 2, 2015",7000000,546201,1732228,2015,10,2
The Perks of Being a Wallflower,103,Drama,7.9,544608,Stephen Chbosky,Stephen Chbosky,"Sep 20, 2012",13000000,17742948,33069303,2012,9,20
Fun Size,86,"Adventure,Comedy,Crime",5.4,15111,Josh Schwartz,Max Werner,"Oct 26, 2012",14000000,9409538,11166615,2012,10,26
Middle Men,82,"Action,Comedy,Crime",5.7,56,Matt Marshall,Matt Marshall,"Aug 6, 2010",20000000,754301,754301,2010,8,6
Deadfall,95,"Action,Adventure,Crime",6.2,40955,Stefan Ruzowitzky,Zach Dean,"Nov 9, 2012",6000000,66351,1673635,2012,11,9
Trespass,91,"Crime,Drama,Mystery",5.3,45347,Joel Schumacher,Karl Gajdusek,"Oct 14, 2011",35000000,16816,786532,2011,10,14
Take Shelter,121,"Drama,Horror,Sci-Fi",7.3,107167,Jeff Nichols,Jeff Nichols,"Sep 30, 2011",4750000,1728953,4972016,2011,9,30
Stoker,99,"Drama,Thriller",6.7,114179,Park Chan-wook,Wentworth Miller,"Feb 28, 2013",12000000,1703125,12034913,2013,2,28
Playback,98,"Horror,Thriller",4.3,5084,Michael A. Nickles,Michael A. Nickles,"Mar 16, 2012",1500000,264,54945,2012,3,16
Playback,113,Drama,5.1,60,Shô Miyake,Shô Miyake,"Mar 16, 2012",1500000,264,54945,2012,3,16
The Tempest,131,Drama,7.9,158,Des McAnuff,William Shakespeare,"Dec 10, 2010",20000000,277943,277943,2010,12,10
Circumstance,107,Drama,5.9,7978,Maryam Keshavarz,Maryam Keshavarz,"Aug 26, 2011",900000,454121,958978,2011,8,26
Haunted Mansion,123,"Comedy,Drama,Family",6.0,41587,Justin Simien,Katie Dippold,"Jul 26, 2023",157750000,67653287,114797989,2023,7,26
Peeples,95,"Comedy,Romance",5.4,5108,Tina Gordon,Tina Gordon,"May 10, 2013",11000000,9177065,9307166,2013,5,10
Joyful Noise,118,"Comedy,Drama,Music",5.7,8831,Todd Graff,Todd Graff,"Jan 13, 2012",27500000,30932113,31157914,2012,1,13
Triple 9,115,"Action,Crime,Drama",6.3,76573,John Hillcoat,Matt Cook,"Feb 19, 2016",20000000,12639297,25943792,2016,2,19
Weekend,97,"Drama,Romance",7.6,32626,Andrew Haigh,Andrew Haigh,"Sep 23, 2011",190000,484592,1577585,2011,9,23
Weekend,121,"Action,Comedy,Crime",3.9,725,Cezary Pazura,Leslaw Kazmierczak,"Sep 23, 2011",190000,484592,1577585,2011,9,23
Weekend,80,"Comedy,Drama",5.8,7,Randal Kamradt,Randal Kamradt,"Sep 23, 2011",190000,484592,1577585,2011,9,23
Raymond Did It,83,Horror,3.3,256,Travis Legge,Travis Legge,"Feb 11, 2011",40000,3632,3632,2011,2,11
Another Happy Day,119,"Comedy,Drama",6.0,4563,Sam Levinson,Sam Levinson,"Nov 18, 2011",4000000,9120,978527,2011,11,18
Barely Lethal,96,"Action,Comedy,Family",5.4,23188,Kyle Newman,John D'Arco,"May 8, 2015",15000000,4912,513303,2015,5,8
Red Lights,114,"Drama,Fantasy,Mystery",6.2,65458,Rodrigo Cortés,Rodrigo Cortés,"Jul 13, 2012",17700000,49521,14518884,2012,7,13
The To Do List,104,"Comedy,Romance",5.8,41768,Maggie Carey,Maggie Carey,"Jul 26, 2013",1500000,3491669,4128828,2013,7,26
The First Time,95,"Comedy,Drama,Romance",6.8,73460,Jonathan Kasdan,Jonathan Kasdan,"Oct 19, 2012",2000000,22836,22836,2012,10,19
Arbitrage,107,"Drama,Thriller",6.6,54615,Nicholas Jarecki,Nicholas Jarecki,"Sep 14, 2012",12000000,7919574,35830713,2012,9,14
The Giant Mechanical Man,95,"Comedy,Drama,Romance",6.7,10499,Lee Kirk,Lee Kirk,"Apr 27, 2012",900000,7396,7396,2012,4,27
Danny Collins,106,"Biography,Comedy,Drama",7.0,33025,Dan Fogelman,Dan Fogelman,"Mar 20, 2015",10000000,5637066,9271825,2015,3,20
Trade of Innocents,88,"Action,Adventure,Drama",5.4,1020,Christopher M. Bessette,Christopher M. Bessette,"Oct 5, 2012",5800000,15091,15091,2012,10,5
Hands of Stone,111,"Biography,Drama,Sport",6.6,17488,Jonathan Jakubowicz,Jonathan Jakubowicz,"Aug 26, 2016",20000000,4712792,5031975,2016,8,26
The Ridges,89,"Drama,Horror,Thriller",3.0,148,Brandon Landers,Brandon Landers,"Nov 25, 2011",17300,0,0,2011,11,25
Zero Dark Thirty,157,"Drama,History,Thriller",7.4,317385,Kathryn Bigelow,Mark Boal,"Dec 19, 2012",52500000,95720716,134612435,2012,12,19
Cirque du Soleil: Worlds Away,91,Fantasy,6.7,8216,Andrew Adamson,Andrew Adamson,"Dec 21, 2012",25000000,12512862,34153101,2012,12,21
Southpaw,124,"Action,Drama,Sport",7.3,256100,Antoine Fuqua,Kurt Sutter,"Jul 22, 2015",30000000,52421953,94156456,2015,7,22
That Awkward Moment,94,"Comedy,Romance",6.1,107097,Tom Gormican,Tom Gormican,"Jan 31, 2014",8000000,26068955,53068955,2014,1,31
Freaks of Nature,92,"Comedy,Horror,Sci-Fi",5.9,13290,Robbie Pickering,Oren Uziel,"Oct 30, 2015",33000000,70958,70958,2015,10,30
Nebraska,115,Drama,7.7,122948,Alexander Payne,Bob Nelson,"Nov 15, 2013",12000000,17654912,24761360,2013,11,15
Queen of the Desert,128,"Adventure,Biography,Drama",5.7,12489,Werner Herzog,Werner Herzog,"Sep 3, 2015",36000000,0,1578543,2015,9,3
Gone,94,"Action,Adventure,Mystery",5.9,46246,Heitor Dhalia,Allison Burnett,"Feb 24, 2012",19000000,11682205,18100189,2012,2,24
Gone,50,Drama,7.5,11,Nicholas Barton,August Benassi,"Feb 24, 2012",19000000,11682205,18100189,2012,2,24
Truth or Die,96,"Horror,Mystery",5.6,10139,Robert Heath,Matthew McGuchan,"Oct 9, 2012",1000000,0,0,2012,10,9
Crossroads,87,"Action,Crime,Drama",6.9,18,Edris Ne,Edris Ne,"Jun 23, 2015",500000,0,0,2015,6,23
Sisters,118,Comedy,6.0,68973,Jason Moore,Paula Pell,"Dec 18, 2015",30000000,87044645,106030660,2015,12,18
Django Unchained,165,"Drama,Western",8.5,1679030,Quentin Tarantino,Quentin Tarantino,"Dec 25, 2012",100000000,162805434,449841566,2012,12,25
End of Watch,109,"Action,Crime,Drama",7.6,267068,David Ayer,David Ayer,"Sep 20, 2012",15000000,41003371,57586606,2012,9,20
Resident Evil: Retribution,95,"Action,Horror,Sci-Fi",5.3,149384,Paul W.S. Anderson,Paul W.S. Anderson,"Sep 12, 2012",65000000,42345531,240647629,2012,9,12
To Rome with Love,112,"Comedy,Music,Romance",6.3,90658,Woody Allen,Woody Allen,"Apr 20, 2012",21500000,16684352,74290305,2012,4,20
Dirty Grandpa,102,Comedy,5.9,132472,Dan Mazer,John Phillips,"Jan 21, 2016",11500000,35593113,105078449,2016,1,21
Safety Not Guaranteed,86,"Adventure,Comedy,Drama",6.9,130584,Colin Trevorrow,Derek Connolly,"Jun 8, 2012",750000,4010957,4422318,2012,6,8
The Edge of Seventeen,104,"Comedy,Drama",7.3,139302,Kelly Fremon Craig,Kelly Fremon Craig,"Nov 18, 2016",9000000,14431633,19096003,2016,11,18
Maggie,95,"Drama,Horror,Sci-Fi",5.6,46516,Henry Hobson,John Scott 3,"May 8, 2015",4500000,187112,1027760,2015,5,8
Redemption,100,"Action,Crime,Drama",6.2,76521,Steven Knight,Steven Knight,"Jun 28, 2013",23000000,36686,13593473,2013,6,28
Redemption,106,"Drama,Mystery,Thriller",8.7,8,Tim Martin Crouse,Tim Martin Crouse,"Jun 28, 2013",23000000,36686,13593473,2013,6,28
Flight,138,"Drama,Thriller",7.3,374525,Robert Zemeckis,John Gatins,"Nov 2, 2012",31000000,93772375,160558438,2012,11,2
Magic Mike,110,"Comedy,Drama,Music",6.1,146733,Steven Soderbergh,Reid Carolin,"Jun 28, 2012",7000000,113721571,170549753,2012,6,28
Bachelorette,87,"Comedy,Romance",5.3,48664,Leslye Headland,Leslye Headland,"Sep 6, 2012",3000000,446770,12577401,2012,9,6
Open Road,85,"Action,Drama,Thriller",5.3,1833,Marcio Garcia,Julia Camara,"Apr 12, 2013",3000000,0,47469,2013,4,12
Phantom,98,"Drama,History,Thriller",5.9,15118,Todd Robinson,Todd Robinson,"Mar 1, 2013",18000000,1034589,1199510,2013,3,1
Phantom,76,Drama,7.5,1192,Jonathan Soler,Jonathan Soler,"Mar 1, 2013",18000000,1034589,1199510,2013,3,1
Seven Psychopaths,110,"Comedy,Crime",7.1,272789,Martin McDonagh,Martin McDonagh,"Oct 12, 2012",13500000,15024049,33035736,2012,10,12
Father Figures,113,"Comedy,Drama",5.5,21175,Lawrence Sher,Justin Malen,"Dec 22, 2017",25000000,17501244,21038441,2017,12,22
Compliance,90,"Crime,Drama,History",6.4,37115,Craig Zobel,Craig Zobel,"Aug 17, 2012",270000,319285,830700,2012,8,17
Sholem Aleichem: Laughing in the Darkness,93,Documentary,7.2,183,Joseph Dorman,Joseph Dorman,"Jul 8, 2011",500000,1131261,1131261,2011,7,8
Rush,123,"Action,Biography,Drama",8.1,509698,Ron Howard,Peter Morgan,"Sep 13, 2013",38000000,26947624,98159204,2013,9,13
Dog,83,"Drama,Thriller",7.1,8,Maxi Velloso,Maxi Velloso,"Feb 18, 2022",15000000,61778069,84677678,2022,2,18
Robot & Frank,89,"Comedy,Crime,Drama",7.0,65657,Jake Schreier,Christopher Ford,"Aug 17, 2012",2500000,3317468,4934356,2012,8,17
Always Woodstock,97,"Comedy,Music,Romance",5.2,863,Rita Merson,Rita Merson,"Nov 14, 2014",2400000,0,0,2014,11,14
The Frozen Ground,105,"Biography,Crime,Drama",6.4,66962,Scott Walker,Scott Walker,"Aug 23, 2013",19200000,0,5617460,2013,8,23
No Good Deed,84,"Crime,Drama,Horror",5.6,21914,Sam Miller,Aimee Lagos,"Sep 12, 2014",13200000,52543632,54323210,2014,9,12
Walter,94,"Comedy,Drama",5.4,2097,Anna Mastro,Paul Shoulberg,"Mar 13, 2015",700000,0,0,2015,3,13
Closer to the Moon,112,"Comedy,Crime,Drama",6.7,4321,Nae Caranfil,Nae Caranfil,"Apr 17, 2014",1500000,0,5396,2014,4,17
Straight A's,91,"Comedy,Drama",5.6,4801,James Cox,Dave Cole,"Mar 19, 2013",2000000,0,0,2013,3,19
Alice in Wonderland,99,"Fantasy,Musical",7.1,15,James Fotopoulos,Lewis Carroll,"Mar 4, 2010",200000000,334191110,1025491110,2010,3,4
Side Effects,106,"Crime,Drama,Mystery",7.1,196660,Steven Soderbergh,Scott Z. Burns,"Feb 8, 2013",30000000,32172757,66742138,2013,2,8
Rocketman,121,"Biography,Drama,Music",7.3,193001,Dexter Fletcher,Lee Hall,"May 22, 2019",41000000,96368160,190995193,2019,5,22
Holy Motors,115,"Drama,Fantasy",7.0,48687,Leos Carax,Leos Carax,"Jul 11, 2012",4000000,641054,4230426,2012,7,11
Hansel & Gretel Get Baked,86,"Comedy,Horror",4.4,3897,Duane Journey,David Tillman,"Jun 25, 2013",4500000,0,0,2013,6,25
The Best Man Holiday,123,"Comedy,Drama",6.6,16794,Malcolm D. Lee,Malcolm D. Lee,"Nov 15, 2013",17000000,70525195,72835710,2013,11,15
Trouble with the Curve,111,"Drama,Sport",6.8,68143,Robert Lorenz,Randy Brown,"Sep 21, 2012",60000000,35763137,47818913,2012,9,21
Grace of Monaco,103,"Biography,Drama,Romance",5.7,21111,Olivier Dahan,Arash Amel,"May 15, 2014",30000000,0,25199891,2014,5,15
Dead Man Down,118,"Action,Adventure,Crime",6.4,69896,Niels Arden Oplev,J.H. Wyman,"Mar 7, 2013",30000000,10895295,19599974,2013,3,7
Upside Down,81,Drama,6.9,59,Ajay Singh,Ajay Singh,"Aug 23, 2012",50000000,102118,26387039,2012,8,23
Into the Storm,89,"Action,Adventure,Drama",5.8,71279,Steven Quale,John Swetnam,"Aug 8, 2014",50000000,47602194,150429371,2014,8,8
The Iron Claw,132,"Biography,Drama,Sport",7.8,39143,Sean Durkin,Sean Durkin,"Dec 21, 2023",15900000,35611828,41039963,2023,12,21
Swelter,96,"Action,Crime,Drama",4.5,3400,Keith Parmer,Keith Parmer,"Aug 12, 2014",8000000,0,44197,2014,8,12
An American in Hollywood,89,Drama,5.7,219,Sai Varadan,Sai Varadan,"Jul 18, 2014",125000,0,0,2014,7,18
Eden,71,Drama,5.6,29,Robbie Walsh,Robbie Walsh,"Jan 19, 2016",2300000,0,0,2016,1,19
The Accountant,128,"Action,Crime,Drama",7.3,316799,Gavin O'Connor,Bill Dubuque,"Oct 11, 2016",40000000,86260045,152962083,2016,10,11
Two Night Stand,86,"Comedy,Romance",6.3,73618,Max Nichols,Mark Hammer,"Sep 26, 2014",1600000,15600,868081,2014,9,26
Snow White: A Deadly Summer,83,Horror,2.3,791,David DeCoteau,Barbara Kymlicka,"Mar 20, 2012",1000000,0,0,2012,3,20
The Walk,89,"Crime,Thriller",6.0,145,Timothy Fielding,Timothy Fielding,"Sep 30, 2015",35000000,10161183,61492104,2015,9,30
St. Vincent,102,"Comedy,Drama",7.2,108154,Theodore Melfi,Theodore Melfi,"Oct 10, 2014",13000000,44137712,54837234,2014,10,10
Crowsnest,84,"Horror,Mystery,Thriller",3.9,1731,Brenton Spencer,John Sheppard,"Sep 7, 2012",1200000,0,0,2012,9,7
The Purge,85,"Horror,Sci-Fi,Thriller",5.7,238646,James DeMonaco,James DeMonaco,"Jun 7, 2013",3000000,64473115,91266581,2013,6,7
The Counselor,117,"Action,Adventure,Crime",5.4,105616,Ridley Scott,Cormac McCarthy,"Oct 25, 2013",25000000,16973715,71009334,2013,10,25
About Time,123,"Comedy,Drama,Fantasy",7.8,382748,Richard Curtis,Richard Curtis,"Sep 4, 2013",12000000,15323921,84429086,2013,9,4
Run All Night,114,"Action,Crime,Thriller",6.6,114615,Jaume Collet-Serra,Brad Ingelsby,"Mar 11, 2015",50000000,26461644,71561644,2015,3,11
The Other Woman,109,"Comedy,Romance",6.0,149341,Nick Cassavetes,Melissa K. Stack,"Apr 23, 2014",40000000,83911193,194270103,2014,4,23
Transcendence,119,"Action,Drama,Sci-Fi",6.2,238030,Wally Pfister,Jack Paglen,"Apr 18, 2014",100000000,23022309,103039258,2014,4,18
Don Jon,90,"Comedy,Drama,Romance",6.5,246437,Joseph Gordon-Levitt,Joseph Gordon-Levitt,"Sep 27, 2013",5500000,24477704,41268579,2013,9,27
Wild Card,92,"Action,Crime,Drama",5.6,59683,Simon West,William Goldman,"Jan 16, 2015",30000000,3200,4315789,2015,1,16
Coffee Town,87,Comedy,6.5,5256,Brad Copeland,Brad Copeland,"Jul 9, 2013",2000000,0,0,2013,7,9
Dear White People,108,"Comedy,Drama,Romance",6.2,26495,Justin Simien,Justin Simien,"Oct 17, 2014",1250000,4404154,5403771,2014,10,17
Halloween 2,\N,Horror,5.3,66,Jake McDowell,Jake McDowell,"Aug 28, 2009",15000000,33392973,38512850,2009,8,28
Drinking Buddies,90,"Comedy,Drama,Romance",6.1,60787,Joe Swanberg,Joe Swanberg,"Aug 23, 2013",500000,343706,407100,2013,8,23
Gone Girl,149,"Drama,Mystery,Thriller",8.1,1058834,David Fincher,Gillian Flynn,"Oct 2, 2014",61000000,167767189,367160781,2014,10,2
Magic Mike XXL,115,"Comedy,Drama,Music",5.6,61119,Gregory Jacobs,Reid Carolin,"Jul 1, 2015",14500000,66013057,123580421,2015,7,1
Love the Coopers,107,"Comedy,Fantasy,Romance",5.8,26693,Jessie Nelson,Steven Rogers,"Nov 12, 2015",18000000,26302731,44263413,2015,11,12
Along the Roadside,108,"Comedy,Music,Romance",6.9,1148,Zoran Lisinac,Zoran Lisinac,"Mar 7, 2013",250000,0,3234,2013,3,7
The Canyons,99,"Drama,Thriller",3.8,11708,Paul Schrader,Bret Easton Ellis,"Aug 2, 2013",250000,59671,62375,2013,8,2
Falcon Rising,103,"Action,Adventure",5.7,9249,Ernie Barbarash,Y.T. Parazi,"Sep 4, 2014",4500000,11774,11774,2014,9,4
Jessabelle,90,"Drama,Horror,Mystery",5.4,25704,Kevin Greutert,Robert Ben Garant,"Nov 7, 2014",10000000,0,6998359,2014,11,7
Queen Crab,80,"Action,Horror,Sci-Fi",3.8,682,Brett Piper,Brett Piper,"Sep 29, 2015",75000,0,0,2015,9,29
The Babadook,94,"Drama,Horror,Mystery",6.8,245400,Jennifer Kent,Jennifer Kent,"May 23, 2014",2000000,950792,7482387,2014,5,23
Fruitvale Station,85,"Biography,Crime,Drama",7.5,85584,Ryan Coogler,Ryan Coogler,"Jul 12, 2013",900000,16098998,17549645,2013,7,12
Snatched,90,"Action,Adventure,Comedy",4.7,37464,Jonathan Levine,Katie Dippold,"May 12, 2017",42000000,45852178,60129558,2017,5,12
Blue Jasmine,98,"Comedy,Drama,Romance",7.3,211883,Woody Allen,Woody Allen,"Jul 26, 2013",18000000,33404871,102912961,2013,7,26
White House Down,131,"Action,Drama,Thriller",6.3,235214,Roland Emmerich,James Vanderbilt,"Jun 28, 2013",150000000,73103784,205440387,2013,6,28
Jobs,128,"Biography,Drama",6.0,103619,Joshua Michael Stern,Matt Whiteley,"Aug 16, 2013",18000000,16131410,43402515,2013,8,16
My Animal,104,"Horror,Romance",4.8,730,Jacqueline Castel,Jae Matthews,"Sep 8, 2023",2440000,0,0,2023,9,8
Unfinished Business,91,"Comedy,Drama",5.4,34976,Ken Scott,Steve Conrad,"Mar 5, 2015",35000000,10219501,13214051,2015,3,5
The Intern,121,"Comedy,Drama",7.1,272188,Nancy Meyers,Nancy Meyers,"Sep 24, 2015",40000000,75764672,197115710,2015,9,24
The Frozen,95,"Drama,Horror,Thriller",4.3,1797,Andrew Hyatt,Andrew Hyatt,"Dec 18, 2012",250000,0,0,2012,12,18
Short Term 12,96,Drama,7.9,91516,Destin Daniel Cretton,Destin Daniel Cretton,"Aug 23, 2013",400000,1013100,2308535,2013,8,23
Dark Skies,97,"Horror,Sci-Fi,Thriller",6.3,79580,Scott Stewart,Scott Stewart,"Feb 21, 2013",3500000,17418667,27704111,2013,2,21
Keeping Up with the Joneses,105,"Action,Comedy",5.9,67902,Greg Mottola,Michael LeSieur,"Oct 20, 2016",40000000,14904426,28804426,2016,10,20
Ain't Them Bodies Saints,96,"Crime,Drama,Romance",6.4,22669,David Lowery,David Lowery,"Aug 16, 2013",5000000,391611,1075009,2013,8,16
Enough Said,93,"Comedy,Drama,Romance",7.0,65980,Nicole Holofcener,Nicole Holofcener,"Sep 18, 2013",8000000,17550872,25621449,2013,9,18
Dom Hemingway,93,"Comedy,Crime,Drama",6.1,27578,Richard Shepard,Richard Shepard,"Nov 15, 2013",7000000,523511,1857458,2013,11,15
The Heat,117,"Action,Comedy,Crime",6.6,180393,Paul Feig,Katie Dippold,"Jun 28, 2013",43000000,159581587,229727774,2013,6,28
The Happy Prince,105,"Biography,Drama",6.3,5853,Rupert Everett,Rupert Everett,"Apr 12, 2018",13000000,464495,2394619,2018,4,12
Copenhagen,98,"Adventure,Drama,Romance",7.0,13821,Mark Raso,Mark Raso,"Nov 15, 2014",600000,0,0,2014,11,15
And So It Goes,94,"Comedy,Drama,Romance",5.9,15218,Rob Reiner,Mark Andrus,"Jul 10, 2014",18000000,15160801,17920013,2014,7,10
Mr. Turner,150,"Biography,Drama,History",6.8,27068,Mike Leigh,Mike Leigh,"Oct 31, 2014",14000000,3958546,25187026,2014,10,31
Bone Tomahawk,132,"Drama,Horror,Western",7.1,116737,S. Craig Zahler,S. Craig Zahler,"Oct 23, 2015",2000000,0,475846,2015,10,23
"Cinco de Mayo, La Batalla",125,"Drama,History,War",6.2,937,Rafa Lara,Rafa Lara,"May 3, 2013",10000000,173472,173472,2013,5,3
Homefront,111,Drama,6.0,33,Chip Rossetti,Chip Rossetti,"Nov 27, 2013",22000000,20158492,51695362,2013,11,27
Life After Beth,89,"Comedy,Fantasy,Horror",5.6,23616,Jeff Baena,Jeff Baena,"Aug 15, 2014",2400000,80315,334491,2014,8,15
Me and Earl and the Dying Girl,105,"Comedy,Drama,Romance",7.7,137663,Alfonso Gomez-Rejon,Jesse Andrews,"Jun 12, 2015",8000000,6758416,9266180,2015,6,12
Shut In,91,"Drama,Horror,Mystery",4.8,14676,Farren Blackburn,Christina Hodson,"Mar 17, 2016",10000000,6900335,11360665,2016,3,17
Hell or High Water,102,"Crime,Drama,Thriller",7.6,250604,David Mackenzie,Taylor Sheridan,"Aug 12, 2016",12000000,27007844,37566117,2016,8,12
Whiplash,106,"Drama,Music",8.5,975332,Damien Chazelle,Damien Chazelle,"Oct 10, 2014",3300000,13092006,39248707,2014,10,10
Resident Evil: The Final Chapter,107,"Action,Horror,Sci-Fi",5.5,100300,Paul W.S. Anderson,Paul W.S. Anderson,"Dec 23, 2016",40000000,26844692,314101190,2016,12,23
Midnight Special,112,"Drama,Mystery,Sci-Fi",6.6,83780,Jeff Nichols,Jeff Nichols,"Feb 18, 2016",18000000,3712282,7680250,2016,2,18
Fences,139,Drama,7.2,117276,Denzel Washington,August Wilson,"Dec 16, 2016",24000000,57682904,64282881,2016,12,16
Me Before You,110,"Drama,Romance",7.4,284078,Thea Sharrock,Jojo Moyes,"Jun 1, 2016",20000000,56245075,208064908,2016,6,1
Churchill,105,"Biography,Drama,History",6.0,15729,Jonathan Teplitzky,Alex von Tunzelmann,"Mar 30, 2017",10000000,1279681,7582196,2017,3,30
Fury,134,"Action,Drama,War",7.6,541874,David Ayer,David Ayer,"Oct 17, 2014",80000000,85817906,210315681,2014,10,17
Blackhat,133,"Action,Crime,Thriller",5.5,63984,Michael Mann,Morgan Davis Foehl,"Jan 16, 2015",70000000,8005980,19665004,2015,1,16
Top Five,102,"Comedy,Romance",6.4,27494,Chris Rock,Chris Rock,"Dec 12, 2014",12000000,25317379,26001741,2014,12,12
Nightcrawler,117,"Crime,Drama,Thriller",7.8,599563,Dan Gilroy,Dan Gilroy,"Oct 31, 2014",8500000,32381218,50334418,2014,10,31
Lucy,89,"Action,Sci-Fi,Thriller",6.4,531170,Luc Besson,Luc Besson,"Jul 25, 2014",40000000,126573960,457507776,2014,7,25
I Origins,106,"Drama,Mystery,Romance",7.3,132974,Mike Cahill,Mike Cahill,"Jul 18, 2014",1000000,336472,852399,2014,7,18
My Old Lady,107,"Comedy,Drama,Romance",6.4,9992,Israel Horovitz,Israel Horovitz,"Sep 10, 2014",5000000,4011530,15220308,2014,9,10
Subconscious,122,"Action,Mystery,Thriller",2.4,419,Georgia Hilton,Georgia Hilton,"Mar 10, 2015",500000,0,0,2015,3,10
The Looking Glass,110,"Drama,Music",6.0,204,John D. Hancock,Dorothy Tristan,"Oct 23, 2015",300000,1711,1711,2015,10,23
Little Evil,94,"Comedy,Fantasy,Horror",5.7,23159,Eli Craig,Eli Craig,"Sep 1, 2017",7500000,0,0,2017,9,1
A Most Violent Year,125,"Action,Crime,Drama",7.0,77101,J.C. Chandor,J.C. Chandor,"Dec 31, 2014",20000000,5749134,8869722,2014,12,31
Happy Christmas,82,"Comedy,Drama",5.4,8852,Joe Swanberg,Joe Swanberg,"Jul 25, 2014",70000,30312,30312,2014,7,25
The Purge: Anarchy,103,"Action,Horror,Sci-Fi",6.4,161466,James DeMonaco,James DeMonaco,"Jul 16, 2014",9000000,71562550,111534881,2014,7,16
Camp X-Ray,117,"Drama,War",6.9,42816,Peter Sattler,Peter Sattler,"Oct 17, 2014",1000000,9837,101053,2014,10,17
Tusk,102,"Comedy,Horror",5.3,62540,Kevin Smith,Kevin Smith,"Sep 19, 2014",3000000,1821983,1887554,2014,9,19
Beyond the Lights,116,"Drama,Music,Romance",6.8,17320,Gina Prince-Bythewood,Gina Prince-Bythewood,"Nov 14, 2014",7000000,14618727,14618727,2014,11,14
Lucky Dog,88,Family,5.4,134,Michael Feifer,Michael Feifer,"Oct 13, 2015",2000000,0,0,2015,10,13
Fight to the Finish,94,"Action,Romance,Sport",3.4,146,Warren Sheppard,Warren Sheppard,"Feb 2, 2016",500000,0,0,2016,2,2
Trainwreck,125,"Comedy,Drama,Romance",6.2,142256,Judd Apatow,Amy Schumer,"Jul 17, 2015",35000000,110212700,141123897,2015,7,17
The True Cost,92,"Documentary,Drama,News",7.7,7269,Andrew Morgan,Andrew Morgan,"May 29, 2015",500000,0,230362,2015,5,29
Rock the Kasbah,106,"Comedy,Music,War",5.5,12698,Barry Levinson,Mitch Glazer,"Oct 23, 2015",15000000,3020665,3386153,2015,10,23
Room,118,"Drama,Thriller",8.1,447384,Lenny Abrahamson,Emma Donoghue,"Oct 16, 2015",13000000,14677674,36316727,2015,10,16
The Boy Next Door,91,Thriller,4.7,45162,Rob Cohen,Barbara Curry,"Jan 22, 2015",4000000,36006065,53401938,2015,1,22
Fantastic Beasts and Where to Find Them,132,"Adventure,Family,Fantasy",7.2,504981,David Yates,J.K. Rowling,"Nov 14, 2016",180000000,234037575,811724385,2016,11,14
